집계 일시,NODE_ID,ACSR_ID,LANE_NO,TRF_QNTY,AVG_SPD,OCPN_RATE,LOS,VC,KLOS,,,,,,,,,,,,,,,
오전 8:45:00,SH009N0003,ACSR000001,6,68,51.48,0,0,61.45,999.9,,,,,,,,,,,,,,,
오전 8:45:00,SH009N0003,ACSR000002,4,14,32.78,0,0,44.21,999.9,,,,,,,,,,,,,,,
오전 8:45:00,SH009N0003,ACSR000003,4,52,70.21,0,0,115.99,999.9,,,,,,,,,,,,,,,
오전 8:45:00,SH009N0003,ACSR000004,18,56,43.35,0,0,36.82,999.9,,,,,,,,,,,,,,,
오전 8:45:00,SH009N0004,ACSR000001,4,50,81.98,41.56,11.08,57.58,999.9,,,,,,,,,,,,,,,
오전 8:45:00,SH009N0004,ACSR000002,7,5,76.75,0,7.19,33.33,999.9,,,,,,,,,,,,,,,
오전 8:45:00,SH009N0004,ACSR000003,5,26,88.99,4.16,19.33,25.72,999.9,,,,,,,,,,,,,,,
오전 8:45:00,SH009N0004,ACSR000004,0,15,44.4,0,16.39,69.77,999.9,,,,,,,,,,,,,,,
오전 8:45:00,SH009N0005,ACSR000001,0,37,70.53,22,5,63.52,999.9,,,,,,,,,,,,,,,
오전 8:45:00,SH009N0005,ACSR000002,3,12,44.23,2.89,2.66,85.71,999.9,,,,,,,,,,,,,,,
오전 8:45:00,SH009N0005,ACSR000003,0,28,57.92,12.17,9.06,43.08,999.9,,,,,,,,,,,,,,,
오전 8:45:00,SH009N0005,ACSR000004,8,14,64.12,3.31,12.37,58.13,999.9,,,,,,,,,,,,,,,
오전 8:50:00,SH009N0001,ACSR000001,5,68,123.19,0,0,51.71,999.9,,,,,,,,,,,,,,,
오전 8:50:00,SH009N0001,ACSR000002,0,9,96.19,0,0,52.68,999.9,,,,,,,,,,,,,,,
오전 8:50:00,SH009N0001,ACSR000003,1,42,126.1,0,0,28.2,999.9,,,,,,,,,,,,,,,
오전 8:50:00,SH009N0002,ACSR000001,14,64,108.84,163.91,20.83,52.71,999.9,,,,,,,,,,,,,,,
오전 8:50:00,SH009N0002,ACSR000002,5,44,64.51,0,0,53.44,999.9,,,,,,,,,,,,,,,
오전 8:50:00,SH009N0002,ACSR000003,4,47,53.33,0,0,34.6,999.9,,,,,,,,,,,,,,,
오전 8:50:00,SH009N0002,ACSR000004,9,56,72.66,0,0,81.16,999.9,,,,,,,,,,,,,,,
오전 8:50:00,SH009N0003,ACSR000001,7,49,53.79,0,0,44.28,999.9,,,,,,,,,,,,,,,
오전 8:50:00,SH009N0003,ACSR000002,10,11,42.81,0,0,34.74,999.9,,,,,,,,,,,,,,,
오전 8:50:00,SH009N0003,ACSR000003,9,37,63.84,0,0,82.53,999.9,,,,,,,,,,,,,,,
오전 8:50:00,SH009N0003,ACSR000004,40,31,35.93,0,0,20.38,999.9,,,,,,,,,,,,,,,
오전 8:50:00,SH009N0004,ACSR000001,3,46,99.89,39.53,16.21,52.98,999.9,,,,,,,,,,,,,,,
오전 8:50:00,SH009N0004,ACSR000002,2,10,46.95,0,24.3,66.67,999.9,,,,,,,,,,,,,,,
오전 8:50:00,SH009N0004,ACSR000003,1,33,95.08,20.61,9.66,32.65,999.9,,,,,,,,,,,,,,,
오전 8:50:00,SH009N0004,ACSR000004,0,14,36.49,0,8.84,65.12,999.9,,,,,,,,,,,,,,,
오전 8:50:00,SH009N0005,ACSR000001,2,54,64.67,64.84,8.19,92.7,999.9,,,,,,,,,,,,,,,
오전 8:50:00,SH009N0005,ACSR000002,3,10,40.71,0,11.01,71.43,999.9,,,,,,,,,,,,,,,
오전 8:50:00,SH009N0005,ACSR000003,1,24,65.51,15.43,5.26,36.92,999.9,,,,,,,,,,,,,,,
오전 8:50:00,SH009N0005,ACSR000004,1,14,70.74,2.75,10.85,58.13,999.9,,,,,,,,,,,,,,,
오전 8:55:00,SH009N0001,ACSR000001,3,75,129.32,0,0,57.03,999.9,,,,,,,,,,,,,,,
오전 8:55:00,SH009N0001,ACSR000002,0,3,141.11,0,0,17.56,999.9,,,,,,,,,,,,,,,
오전 8:55:00,SH009N0001,ACSR000003,4,23,136.87,0,0,15.44,999.9,,,,,,,,,,,,,,,
오전 8:55:00,SH009N0002,ACSR000001,2,68,102.92,57.99,10.76,56.01,999.9,,,,,,,,,,,,,,,
오전 8:55:00,SH009N0002,ACSR000002,4,35,102.95,0,0,42.51,999.9,,,,,,,,,,,,,,,
오전 8:55:00,SH009N0002,ACSR000003,2,30,84.5,0,0,22.09,999.9,,,,,,,,,,,,,,,
오전 8:55:00,SH009N0002,ACSR000004,6,25,84.36,0,0,36.23,999.9,,,,,,,,,,,,,,,
오전 8:55:00,SH009N0003,ACSR000001,3,34,46.37,0,0,30.72,999.9,,,,,,,,,,,,,,,
오전 8:55:00,SH009N0003,ACSR000002,1,17,33.2,0,0,53.68,999.9,,,,,,,,,,,,,,,
오전 8:55:00,SH009N0003,ACSR000003,4,13,54.04,0,0,29,999.9,,,,,,,,,,,,,,,
오전 8:55:00,SH009N0003,ACSR000004,4,42,47.99,0,0,27.62,999.9,,,,,,,,,,,,,,,
오전 8:55:00,SH009N0004,ACSR000001,0,54,105.1,35.22,10,62.19,999.9,,,,,,,,,,,,,,,
오전 8:55:00,SH009N0004,ACSR000002,2,4,67.74,0,9.22,26.67,999.9,,,,,,,,,,,,,,,
오전 8:55:00,SH009N0004,ACSR000003,2,24,97.34,9.17,12.11,23.74,999.9,,,,,,,,,,,,,,,
오전 8:55:00,SH009N0004,ACSR000004,3,15,45.25,2.6,8.73,69.77,999.9,,,,,,,,,,,,,,,
오전 8:55:00,SH009N0005,ACSR000001,2,33,67.61,15.48,6.31,56.65,999.9,,,,,,,,,,,,,,,
오전 8:55:00,SH009N0005,ACSR000002,1,10,46.36,0,1.66,71.43,999.9,,,,,,,,,,,,,,,
오전 8:55:00,SH009N0005,ACSR000003,0,38,65.62,27.74,5.04,58.46,999.9,,,,,,,,,,,,,,,
오전 8:55:00,SH009N0005,ACSR000004,1,18,77.67,12.69,3.75,74.74,999.9,,,,,,,,,,,,,,,
오전 9:00:00,SH009N0001,ACSR000001,1,41,109.47,0,0,31.18,999.9,,,,,,,,,,,,,,,
