TOT_DT,LINK_ID,LANE_NO,Thresholds,recon_error,anomaly,link_anomaly,true_anomaly,is_correct
2025-09-20 14:39:00,SH001N0003_ACSR000001,4,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000001,5,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000001,5,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000001,6,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000001,6,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000001,7,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000001,7,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000001,8,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000001,8,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000001,9,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000001,9,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000002,1,0.00024302684,4.174468e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000002,1,0.00024302684,6.237767e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000002,2,0.00013424971,0.62765104,1,1,0,0
2025-09-20 14:39:00,SH001N0003_ACSR000002,2,0.00013424971,0.8329871,1,1,0,0
2025-09-20 14:38:00,SH001N0003_ACSR000002,3,0.0012298542,6.5291904e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000002,3,0.0012298542,6.287756e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000002,4,1.7763365e-05,1.7763365e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000002,4,1.7763365e-05,1.7763365e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000002,5,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000002,5,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000002,6,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000002,6,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000002,7,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000002,7,1.37081215e-05,1.37081215e-05,0,1,0,1
