TOT_DT,LINK_ID,LANE_NO,TRF_QNTY,AVG_SPD,OCPN_RATE
2024-11-29 00:25:00,2240009900,2,15.0,93.0,1.048
2024-11-29 00:25:00,2240009900,3,10.0,93.5,0.67
2024-11-29 00:25:00,2240009900,4,1.0,97.7,0.078
2024-11-29 00:25:00,2240010000,1,7.0,103.0,0.193
2024-11-29 00:25:00,2240014101,1,4.0,97.0,0.258
2024-11-29 00:25:00,2240010000,3,23.0,94.35,0.766
2024-11-29 00:25:00,2240010000,4,15.0,91.45,0.543
2024-11-29 00:25:00,2240010000,5,4.0,92.4,0.302
2024-11-29 00:25:00,2240012900,1,3.0,101.5,0.166
2024-11-29 00:25:00,2240012900,2,15.0,93.0,1.048
2024-11-29 00:25:00,2240012900,3,10.0,93.5,0.67
2024-11-29 00:25:00,2240012900,4,1.0,97.7,0.078
2024-11-29 00:25:00,2240013000,1,3.0,106.3,0.146
2024-11-29 00:25:00,2240013000,2,14.0,104.0,0.796
2024-11-29 00:25:00,2240013000,3,12.0,99.3,0.77
2024-11-29 00:25:00,2240010000,2,24.0,99.3,0.729
2024-11-29 00:30:00,2240157300,1,9.0,94.6,0.604
2024-11-29 00:30:00,2240157100,3,3.0,95.7,0.288
2024-11-29 00:30:00,2240157100,2,8.0,91.5,0.662
2024-11-29 00:30:00,2240014201,1,1.0,101.1,0.054
2024-11-29 00:30:00,2240014201,4,15.0,88.0,1.176
2024-11-29 00:30:00,2240014201,3,16.0,93.0,1.092
2024-11-29 00:30:00,2240014201,2,16.0,96.1,1.07
2024-11-29 00:30:00,2240157300,2,18.0,87.35,0.877
2024-11-29 00:30:00,2240157100,1,6.0,91.7,0.878
2024-11-29 00:30:00,2240157300,3,8.0,93.6,0.379
2024-11-29 00:30:00,2240157900,3,7.0,93.67,0.4593
2024-11-29 00:30:00,2240157400,2,10.0,83.2,1.092
2024-11-29 00:30:00,2240157400,3,5.0,91.5,0.47
2024-11-29 00:30:00,2240157900,1,26.0,88.57,1.0227
2024-11-29 00:30:00,2240157900,2,29.0,90.73,0.888
2024-11-29 00:30:00,2240160800,1,13.0,97.55,0.813
2024-11-29 00:30:00,2240160800,2,33.0,92.75,2.707
2024-11-29 00:30:00,2240160800,3,3.0,95.7,0.285
2024-11-29 00:30:00,2240160900,1,4.0,97.65,0.284
2024-11-29 00:30:00,2240160900,2,20.0,82.55,1.691
2024-11-29 00:30:00,2240014101,4,12.0,86.2,0.956
2024-11-29 00:30:00,2240157400,1,3.0,97.5,0.33
2024-11-29 00:30:00,2240160900,3,20.0,87.7,1.686
2024-11-29 00:30:00,2240014101,3,19.0,84.4,1.374
2024-11-29 00:30:00,2240014101,1,6.0,95.6,0.39
2024-11-29 00:30:00,2240014101,2,24.0,92.0,1.612
2024-11-29 00:30:00,2240007900,1,1.0,99.4,0.064
2024-11-29 00:30:00,2240007900,2,12.0,90.8,0.798
2024-11-29 00:30:00,2240007900,3,7.0,91.3,0.522
2024-11-29 00:30:00,2240007900,4,9.0,89.1,0.644
2024-11-29 00:30:00,2240007900,5,3.0,94.6,0.23
2024-11-29 00:30:00,2240009900,2,14.0,95.8,0.944
2024-11-29 00:30:00,2240009900,3,9.0,87.6,0.656
2024-11-29 00:30:00,2240009900,4,1.0,96.9,0.086
2024-11-29 00:30:00,2240010000,1,4.0,101.65,0.113
2024-11-29 00:30:00,2240010000,2,27.0,95.8,0.841
2024-11-29 00:30:00,2240009900,1,4.0,102.9,0.22
2024-11-29 00:30:00,2240010000,4,13.0,92.4,0.458
2024-11-29 00:30:00,2240010000,3,17.0,92.35,0.593
2024-11-29 00:30:00,2240013000,3,10.0,93.4,0.664
2024-11-29 00:30:00,2240013000,2,15.0,100.8,0.884
2024-11-29 00:30:00,2240013000,1,3.0,103.9,0.162
2024-11-29 00:30:00,2240012900,4,1.0,96.9,0.086
2024-11-29 00:30:00,2240013000,4,4.0,95.7,0.272
2024-11-29 00:30:00,2240012900,2,14.0,95.8,0.944
2024-11-29 00:30:00,2240012900,1,4.0,102.9,0.22
2024-11-29 00:30:00,2240010000,5,3.0,94.6,0.23
2024-11-29 00:30:00,2240012900,3,9.0,87.6,0.656
2024-11-29 00:35:00,2240157300,3,5.0,95.0,0.358
2024-11-29 00:35:00,2240014201,1,2.0,99.3,0.126
2024-11-29 00:35:00,2240014201,2,16.0,87.1,1.174
2024-11-29 00:35:00,2240014201,3,17.0,92.6,1.134
2024-11-29 00:35:00,2240014201,4,18.0,96.8,1.178
2024-11-29 00:35:00,2240157100,1,3.0,97.5,0.262
2024-11-29 00:35:00,2240157100,2,13.0,95.5,0.702
2024-11-29 00:35:00,2240157100,3,0.0,0.0,0.0
2024-11-29 00:35:00,2240157300,1,7.0,98.35,0.333
2024-11-29 00:35:00,2240157300,2,24.0,90.15,1.033
2024-11-29 00:35:00,2240157400,1,4.0,99.2,0.404
2024-11-29 00:35:00,2240014101,4,9.0,89.4,0.698
2024-11-29 00:35:00,2240157400,3,5.0,90.0,0.716
2024-11-29 00:35:00,2240157900,1,28.0,90.8,0.998
2024-11-29 00:35:00,2240157900,2,20.0,93.23,0.8353
2024-11-29 00:35:00,2240157900,3,17.0,90.27,0.9213
2024-11-29 00:35:00,2240160800,1,2.0,99.75,0.122
2024-11-29 00:35:00,2240160800,2,40.0,89.15,2.753
2024-11-29 00:35:00,2240160800,3,11.0,90.05,1.046
2024-11-29 00:35:00,2240160900,1,10.0,98.35,0.823
2024-11-29 00:35:00,2240160900,2,23.0,83.8,1.895
2024-11-29 00:35:00,2240160900,3,16.0,83.8,1.134
2024-11-29 00:35:00,2240157400,2,11.0,84.8,1.364
2024-11-29 00:35:00,2240014101,3,12.0,84.5,0.862
2024-11-29 00:35:00,2240014101,2,26.0,82.7,1.846
2024-11-29 00:35:00,2240014101,1,4.0,96.3,0.262
2024-11-29 00:35:00,2240007900,1,3.0,99.1,0.19
2024-11-29 00:35:00,2240007900,2,16.0,89.8,1.158
2024-11-29 00:35:00,2240007900,3,11.0,82.6,0.886
2024-11-29 00:35:00,2240007900,4,12.0,87.4,0.876
2024-11-29 00:35:00,2240007900,5,6.0,88.4,0.47
2024-11-29 00:35:00,2240009900,1,2.0,98.9,0.126
2024-11-29 00:35:00,2240009900,3,9.0,87.6,0.74
2024-11-29 00:35:00,2240009900,4,0.0,0.0,0.0
2024-11-29 00:35:00,2240010000,1,7.0,100.1,0.211
2024-11-29 00:35:00,2240010000,2,28.0,92.1,0.968
2024-11-29 00:35:00,2240009900,2,17.0,97.8,1.076
2024-11-29 00:35:00,2240010000,4,21.0,90.85,0.759
2024-11-29 00:35:00,2240010000,3,24.0,89.8,0.858
2024-11-29 00:35:00,2240013000,3,13.0,97.0,0.83
2024-11-29 00:35:00,2240013000,2,12.0,94.4,0.778
2024-11-29 00:35:00,2240013000,1,4.0,101.1,0.232
2024-11-29 00:35:00,2240012900,4,0.0,0.0,0.0
2024-11-29 00:35:00,2240013000,4,9.0,94.3,0.642
2024-11-29 00:35:00,2240012900,2,17.0,97.8,1.076
2024-11-29 00:35:00,2240012900,1,2.0,98.9,0.126
2024-11-29 00:35:00,2240010000,5,6.0,88.4,0.47
2024-11-29 00:35:00,2240012900,3,9.0,87.6,0.74
2024-11-29 00:40:00,2240157300,3,6.0,94.6,0.449
2024-11-29 00:40:00,2240014201,1,2.0,100.3,0.118
2024-11-29 00:40:00,2240014201,2,14.0,88.5,1.014
2024-11-29 00:40:00,2240014201,3,20.0,91.8,1.296
2024-11-29 00:40:00,2240014201,4,19.0,87.7,1.302
2024-11-29 00:40:00,2240157100,1,2.0,100.9,0.278
2024-11-29 00:40:00,2240157100,2,16.0,87.4,1.23
2024-11-29 00:40:00,2240157100,3,1.0,100.8,0.064
2024-11-29 00:40:00,2240157300,1,7.0,98.45,0.346
2024-11-29 00:40:00,2240157300,2,37.0,78.0,1.932
2024-11-29 00:40:00,2240157400,1,5.0,96.0,0.414
2024-11-29 00:40:00,2240160900,3,16.0,85.0,1.189
2024-11-29 00:40:00,2240157400,3,5.0,88.4,0.834
2024-11-29 00:40:00,2240157900,1,24.0,93.13,0.8993
2024-11-29 00:40:00,2240157900,2,34.0,91.63,1.0213
2024-11-29 00:40:00,2240157900,3,12.0,88.8,1.1953
2024-11-29 00:40:00,2240160800,1,16.0,94.8,1.474
2024-11-29 00:40:00,2240160800,2,32.0,89.2,2.599
2024-11-29 00:40:00,2240160800,3,4.0,99.65,0.312
2024-11-29 00:40:00,2240160900,1,6.0,99.55,0.512
2024-11-29 00:40:00,2240160900,2,30.0,91.55,2.391
2024-11-29 00:40:00,2240014101,4,8.0,87.5,0.614
2024-11-29 00:40:00,2240157400,2,21.0,68.6,2.634
2024-11-29 00:40:00,2240014101,3,23.0,87.4,1.678
2024-11-29 00:40:00,2240014101,2,24.0,86.4,1.71
2024-11-29 00:40:00,2240014101,1,4.0,97.9,0.264
2024-11-29 00:40:00,2240007900,2,14.0,88.6,0.966
2024-11-29 00:40:00,2240007900,3,13.0,85.0,0.984
2024-11-29 00:40:00,2240007900,4,11.0,90.2,0.814
2024-11-29 00:40:00,2240007900,5,5.0,94.1,0.39
2024-11-29 00:40:00,2240009900,1,3.0,100.5,0.18
2024-11-29 00:40:00,2240009900,2,19.0,95.0,1.238
2024-11-29 00:40:00,2240009900,3,9.0,102.3,0.55
2024-11-29 00:40:00,2240009900,4,2.0,100.6,0.124
2024-11-29 00:40:00,2240010000,1,9.0,97.9,0.293
2024-11-29 00:40:00,2240010000,2,30.0,89.3,1.017
2024-11-29 00:40:00,2240007900,1,6.0,94.3,0.416
2024-11-29 00:40:00,2240010000,4,17.0,92.05,0.614
2024-11-29 00:40:00,2240010000,5,5.0,94.1,0.39
2024-11-29 00:40:00,2240012900,1,3.0,100.5,0.18
2024-11-29 00:40:00,2240012900,2,19.0,95.0,1.238
2024-11-29 00:40:00,2240012900,3,9.0,102.3,0.55
2024-11-29 00:40:00,2240012900,4,2.0,100.6,0.124
2024-11-29 00:40:00,2240013000,1,3.0,101.5,0.17
2024-11-29 00:40:00,2240013000,2,16.0,90.0,1.068
2024-11-29 00:40:00,2240013000,3,11.0,102.7,0.65
